"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Cyprus","CYP","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.30064","1.46033","1.59915","1.42483","","","","1.71262","2.19652","2.24623","2.86842","3.02896","2.80094","3.40538","3.96423","4.83478","5.42948","6.75499","7.93435","9.0271","10.12451","9.24712","14.07258","15.02813","17.01657","19.17956","20.9354","","21.03242","19.56232","21.61252","25.10229","31.96361","35.86369","33.22082","33.41991","36.17381","42.618","52.00389","48.31158","46.53973","45.86359","47.52524","53.10435","60.10123","67.17111","75.94081","","",
"Czech Republic","CZE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","8.90439","8.38842","8.46093","9.17656","10.16726","11.37896","13.05452","14.5703","15.31842","16.31719","17.06698","17.34226","17.2273","16.65736","16.32517","16.15094","16.45553","16.48658","16.30483","16.153","16.05772","14.57238","14.38755","19.39908","20.57965","21.50966","23.24161","23.74192","25.47488","28.34876","29.97563","34.43736","37.00822","43.73418","48.34936","50.13669","54.18236","58.06951","61.07541","63.94588","65.57001","65.67117","65.08577","65.6241","64.48163","63.74813","64.07869","","",
"Germany","DEU","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.65992","35.43258","39.4206","42.5006","45.32742","46.94253","47.79208","","","","","","","","","","","","","","","","61.38684","65.50391","67.74687","69.58059","70.24665","","",
"Djibouti","DJI","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","0","","","","","0","","","","","0","","","","","0","0.09459","0.10823","0.13209","","0.21989","0.25977","","0.25662","0.26942","0.68793","1.00922","1.26036","1.56962","2.29907","2.52313","2.70975","2.7832","3.53736","3.61628","5.34532","","","","","","","","",
"Dominica","DMA","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","0.74161","","","0.6834","0.71276","","","","0.84138","","5.89364","9.4799","7.2336","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","18.85399","22.05901","25.35852","27.64679","28.52527","30.04234","30.16301","31.93434","28.26959","28.37665","28.26807","27.96108","28.55386","28.76108","28.82219","29.09524","29.61317","30.59115","31.85488","34.09513","36.45915","38.63267","42.71728","44.65515","45.44683","47.79915","","52.45497","55.81919","57.21831","59.99788","63.50836","67.50428","74.395","80.37451","79.01963","78.55219","75.68209","74.28376","73.59667","76.75835","79.10832","80.93104","81.02908","82.12949","81.05675","80.61602","","",
"Dominican Republic","DOM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","6.2753","8.08732","8.27896","","8.92476","","","","","","","","","","","18.87902","","","","","","","","","","","22.61501","","","","","","34.09831","","","","","","","","","48.629","","49.31927","51.74711","54.499","59.91559","","",
"Algeria","DZA","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.04504","8.86452","","10.29314","11.0127","11.14538","10.98829","10.46949","10.15425","11.41825","","","13.72464","","15.65381","17.37116","18.57795","19.14942","20.87286","21.33784","23.60133","","29.90938","29.88943","31.21409","32.20153","33.89099","34.48182","36.78132","42.62885","47.64683","51.36567","",
"East Asia & Pacific (excluding high income)","EAP","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","1.44888","1.39188","1.42351","1.47434","1.65835","1.85464","2.03101","2.19176","2.45085","2.88748","3.18659","3.62582","4.0697","4.23749","4.52859","4.81016","5.04864","5.19912","5.06424","5.16005","5.15432","5.22673","5.25845","5.45106","6.18328","6.96225","7.65452","8.52885","9.32708","10.35971","11.38945","12.97899","14.96841","16.96496","18.60355","19.74575","20.57977","21.10538","21.67885","23.29108","24.90726","26.41241","28.97813","31.61593","38.32286","40.77012","42.18603","42.88394","43.79356","",
"Early-demographic dividend","EAR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","5.1298","5.17851","5.3172","5.52379","5.75073","6.01691","6.23371","6.28085","6.52885","6.77483","6.97747","7.34601","7.39594","7.85616","8.38657","8.57894","8.7285","8.99941","8.67689","8.90072","9.00799","9.18592","9.23464","9.3532","9.63605","9.87344","10.55749","11.08683","11.81005","12.75031","13.35098","13.6815","14.1504","14.60439","15.04252","15.35811","16.18725","17.50613","19.17067","20.30099","21.98366","24.65542","26.22707","26.66594","27.92243","29.1959","30.00885","30.73656","31.10887","",
