"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","1100","1260","1450","1660","1830","2030","2240","2410","2620","2890","3160","3500","3910","4410","5020","5830","6830","7620","8290","9210","10200","11170","11830","12570","12930","13520","14330","15550","16740",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","1780","1770","1740","1800","1910","2060","2140","2230","2230","2080","2030","1960","1870","2000","2210","2260","2310","2370","2410","2430","2310","2540","2700","3050","4550","4620","4690","4980","5290",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","1680","1630","1500","1520","1550","1610","1670","1750","1800","1830","1880","1960","2080","2250","2290","2410","2500","2590","2620","2650","2750","2810","2950","3160","3210","3350","3490","3610","3730",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","490","520","490","480","440","440","410","430","450","470","500","530","550","560","580","610","640","630","690","780","840","940","1030","1080","1110",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2680","2780","2960","2700","2690","1880","1920","2350","2540","2250","2430","2500","2640","2690","2560","2690","2840","2890","3230","3330","3670","3720","3770","3740","3890","3300","3150","3130","3090","3060",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4810","5000","5240","5580","5980","6310","6420","6640","6660","6380","6550","6670","6830","7070","7540","8120","8800","9490","9830","9940","10340","11110","11560","12280","12910","13080","13800","14050","14590","15150",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1580","1510","1640","1670","1570","1610","1580","1620","1620","1630","1800","1840","1860","1890","1930","2000","2070","2100","2160","2190","2250","2340","2510","2640","2720","2720","2880","3050","3160","3220",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1070","1090","1210","1300","1540","1740","1920","2130","2360","2600","2960","3080","3200","3360","3740","4010","4380","5210","5560","5470","5440","5730","5570","5590","5460","5770","6100","6410","6860","7310",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4830","5080","5540","5930","6250","6450","6520","6830","7150","7250","7480","7770","8020","8380","8890","9430","10360","11400","12080","11730","12310","12930","13640","14100","14960","15860","17230","18160","18790","19250",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5608.27557609278","5839.10350851178","6172.42837784595","6593.15740196848","6772.18194257952","7188.5371928235","7612.98168911203","7783.16748475324","8062.72600893954","8437.87916448857","8829.73619427975","9132.55341653316","9592.94423719841","10324.6804175714","11115.6049712734","11735.7078297708","12941.8228477336","13717.6910081011","14164.9034677989","13591.9141292443","13913.4845551257","13860.3414796086","14079.6959079075","14486.9370074933","14505.7803866254","14487.7701327613","14269.5823660687","14776.4744461121","14984.0503099944","15452.0001267017",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25350","25930","26750","26940","26440","26790","27060","25800","25470","25120","25070","24680","25690","25860","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59910","61840","42520","37500","36380","38100","39910","41640","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13240","13450","14640","14740","15600","16200","16450","16800","19320","18530","19470","21240","22340","23260","24460","26320","28320","30740","34260","33820","32970","34190","31610","30020","29240","31510","33970","36620","38340","39830",
"Czech Republic","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11720","12070","12690","13650","14380","14540","14710","15060","15900","17080","17560","18780","19840","20970","22330","24450","26040","25670","25640","26620","27250","28670","30090","31420","33550","36120","38180","40660",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19640","21030","21750","21870","22750","23490","24040","24520","25200","26110","27060","28180","28870","29570","31490","32060","34700","36780","38160","37680","39760","43630","44400","46040","47950","48770","51810","54370","55980","57690",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4210","4490","4850","4950","5100","5520","5980",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4190","4350","4540","4760","4770","4970","5140","5420","5780","5720","5750","6160","6000","6510","6780","7100","7980","8630","9490","9570","9830","9980","9570","9860","10560","10690","11630","11050","11830","12460",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17590","18360","19170","19690","21170","22250","23230","24470","25450","26370","28020","29020","30260","30510","32950","34430","37740","39160","41740","40770","43740","45340","45820","48210","49640","50560","53250","56230","58700","61410",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3540","3620","4040","4290","4440","4710","5030","5490","5820","6140","6480","6680","6990","6770","6920","7920","8830","9600","10110","10160","11000","11410","11430","11890","12820","14130","15420","15940","17310","18280",
